body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
-0.007136,-0.013349,-0.007048
-0.009381,-0.004905,-0.000813
0.001781,0.004431,0.004334
0.007362,0.009100,0.006907
-0.009259,0.020373,0.008378
-0.008554,0.011245,0.002742
-0.007146,-0.007013,-0.008530
-0.003342,-0.007837,-0.018609
-0.001440,-0.008249,-0.023649
0.003351,-0.011469,-0.023404
0.000087,-0.005689,-0.012692
-0.006442,0.005872,0.008733
0.000127,0.003502,0.021705
0.003412,0.002317,0.028191
-0.005750,0.008046,-0.012340
-0.000160,0.001305,-0.006231
0.011019,-0.012178,0.005987
-0.002683,0.007334,-0.001743
-0.009533,0.017089,-0.005609
0.005457,0.007692,-0.007916
0.009231,0.011571,-0.008386
0.016780,0.019328,-0.009327
0.016829,0.012003,-0.004416
0.016854,0.008340,-0.001962
-0.006580,-0.013748,-0.013538
-0.004857,-0.012035,-0.015923
-0.001410,-0.008611,-0.020694
0.002352,-0.018483,-0.016992
0.004232,-0.023419,-0.015141
0.000941,0.002674,-0.013501
0.006025,0.006854,0.000310
0.016195,0.015213,0.027932
0.008106,0.017452,0.009960
0.004059,0.018572,0.000975
-0.002761,0.009569,0.024627
0.004779,0.017891,0.018777
0.019855,0.034538,0.007074
0.003612,0.001898,0.014111
-0.004507,-0.014423,0.017629
0.009544,0.014482,-0.022975
0.014866,0.022739,-0.019303
0.025514,0.039249,-0.011960
0.011797,0.013213,-0.004268
0.004938,0.000195,-0.000423
0.006182,0.004556,0.041713
0.002023,0.000266,0.022034
-0.006295,-0.008315,-0.017323
-0.009665,-0.019286,-0.000433
-0.011351,-0.024771,0.008012
-0.008408,0.004642,0.016890
0.001933,0.002789,0.012635
0.022616,-0.000914,0.004126
0.002461,0.011251,0.004031
-0.007618,0.017333,0.003985
0.006451,-0.040125,-0.009805
0.005132,-0.014826,0.002521
0.002491,0.035771,0.027173
-0.000651,0.001293,0.037938
-0.002215,-0.015947,0.043320
0.003070,-0.006815,-0.000568
0.007556,-0.008420,-0.000991
0.016528,-0.011630,-0.001836
0.008532,-0.006859,-0.011099
0.004535,-0.004472,-0.015731
0.011835,-0.008449,0.022061
0.004021,-0.006381,0.009290
-0.011605,-0.002245,-0.016251
-0.003220,-0.015246,-0.017158
0.000972,-0.021748,-0.017611
0.011919,-0.011373,-0.009464
0.007520,-0.013274,-0.014415
-0.001277,-0.017073,-0.024319
0.013486,0.015064,0.009084
0.020868,0.031131,0.025786
-0.001834,-0.019588,-0.045576
-0.008601,-0.028616,-0.028250
-0.022152,-0.046664,0.006402
-0.002850,0.002945,0.003765
0.006801,0.027749,0.002446
0.013375,-0.011962,-0.042310
0.010315,-0.007426,-0.022922
0.004195,0.001641,0.015855
0.019308,0.008424,-0.027062
0.026864,0.011817,-0.048520
-0.015815,-0.014348,-0.006186
-0.008432,-0.009658,-0.010485
0.006336,-0.000279,-0.019084
0.007402,0.007714,-0.017827
0.007936,0.011711,-0.017199
0.014139,-0.013835,-0.012862
0.013348,-0.010268,-0.017850
0.011767,-0.003132,-0.027823
0.008533,0.013627,-0.024635
0.006919,0.022007,-0.023039
0.001337,-0.006731,0.021246
0.003435,-0.003057,0.016787
0.000000,0.000000,0.000000
-0.007630,-0.004294,-0.007869
