body_0_w,body_0_x,body_0_y,body_0_z
0.994685,-0.077431,0.066933,0.011220
0.994669,-0.077326,0.067294,0.011200
0.994643,-0.077278,0.067722,0.011263
0.994619,-0.077243,0.068102,0.011324
0.994600,-0.077235,0.068385,0.011382
0.994598,-0.077125,0.068584,0.011102
0.994604,-0.076964,0.068740,0.010651
0.994611,-0.076839,0.068766,0.010737
0.994611,-0.076778,0.068834,0.010807
0.994595,-0.076846,0.068983,0.010844
0.994579,-0.076790,0.069268,0.010812
0.994565,-0.076672,0.069621,0.010745
0.994559,-0.076688,0.069700,0.010635
0.994552,-0.076651,0.069856,0.010505
0.994543,-0.076506,0.070166,0.010334
0.994524,-0.076587,0.070321,0.010599
0.994498,-0.076780,0.070398,0.011082
0.994498,-0.076805,0.070377,0.011072
0.994493,-0.076855,0.070391,0.011078
0.994479,-0.076953,0.070477,0.011119
0.994471,-0.076969,0.070586,0.010970
0.994467,-0.076945,0.070706,0.010727
0.994464,-0.076972,0.070712,0.010747
0.994463,-0.076982,0.070711,0.010867
0.994462,-0.076955,0.070693,0.011185
0.994459,-0.076959,0.070715,0.011337
0.994453,-0.076978,0.070757,0.011408
0.994439,-0.076909,0.070977,0.011733
0.994427,-0.076837,0.071192,0.011951
0.994418,-0.076760,0.071398,0.011954
0.994421,-0.076762,0.071362,0.011888
0.994430,-0.076805,0.071204,0.011789
0.994413,-0.076931,0.071251,0.012185
0.994396,-0.077063,0.071280,0.012537
0.994382,-0.077207,0.071276,0.012801
0.994378,-0.077316,0.071219,0.012740
0.994380,-0.077407,0.071135,0.012516
0.994378,-0.077546,0.070973,0.012738
0.994375,-0.077653,0.070875,0.012865
0.994370,-0.077699,0.070906,0.012804
0.994365,-0.077745,0.070952,0.012605
0.994361,-0.077792,0.071006,0.012337
0.994329,-0.078251,0.070854,0.012907
0.994303,-0.078601,0.070753,0.013286
0.994293,-0.078733,0.070755,0.013282
0.994291,-0.078805,0.070709,0.013263
0.994293,-0.078845,0.070638,0.013237
0.994267,-0.079016,0.070811,0.013263
0.994249,-0.079173,0.070885,0.013274
0.994248,-0.079304,0.070758,0.013256
0.994224,-0.079424,0.070921,0.013418
0.994190,-0.079537,0.071229,0.013669
0.994175,-0.079651,0.071263,0.013886
0.994161,-0.079746,0.071334,0.013984
0.994148,-0.079802,0.071481,0.013841
0.994143,-0.079855,0.071578,0.013434
0.994140,-0.079906,0.071650,0.012895
0.994100,-0.080293,0.071688,0.013374
0.994069,-0.080552,0.071767,0.013695
0.994057,-0.080554,0.071928,0.013701
0.994035,-0.080686,0.072042,0.013928
0.994008,-0.080883,0.072132,0.014268
0.993998,-0.081021,0.072099,0.014327
0.993984,-0.081195,0.072073,0.014412
0.993963,-0.081442,0.072063,0.014550
0.993940,-0.081655,0.072121,0.014660
0.993916,-0.081852,0.072211,0.014756
0.993910,-0.082008,0.072140,0.014586
0.993905,-0.082099,0.072122,0.014535
0.993899,-0.082060,0.072211,0.014720
0.993880,-0.082177,0.072317,0.014830
0.993855,-0.082370,0.072430,0.014901
0.993845,-0.082405,0.072539,0.014819
0.993827,-0.082524,0.072632,0.014921
0.993792,-0.082809,0.072690,0.015394
0.993779,-0.082867,0.072797,0.015407
0.993777,-0.082811,0.072930,0.015191
0.993769,-0.082948,0.072821,0.015472
0.993767,-0.083051,0.072697,0.015661
0.993775,-0.083088,0.072542,0.015664
0.993763,-0.083179,0.072551,0.015892
0.993741,-0.083297,0.072643,0.016233
0.993697,-0.083486,0.072953,0.016582
0.993672,-0.083624,0.073098,0.016751
0.993685,-0.083660,0.072911,0.016561
0.993688,-0.083707,0.072822,0.016543
0.993686,-0.083757,0.072783,0.016610
0.993693,-0.083892,0.072548,0.016523
0.993692,-0.084020,0.072416,0.016491
0.993676,-0.084135,0.072493,0.016567
0.993676,-0.084196,0.072441,0.016452
0.993685,-0.084229,0.072327,0.016241
0.993667,-0.084287,0.072449,0.016486
0.993650,-0.084361,0.072544,0.016751
0.993633,-0.084465,0.072583,0.017060
0.993618,-0.084648,0.072583,0.017048
0.993603,-0.084871,0.072562,0.016876
0.993603,-0.084895,0.072518,0.016929
0.993598,-0.084944,0.072530,0.016940
0.993582,-0.085043,0.072655,0.016869
0.993573,-0.085015,0.072725,0.017184
0.993569,-0.084925,0.072767,0.017694
0.993559,-0.085090,0.072767,0.017467
0.993547,-0.085206,0.072783,0.017511
0.993532,-0.085223,0.072829,0.018095
0.993508,-0.085364,0.072921,0.018363
0.993480,-0.085566,0.073036,0.018473
0.993490,-0.085622,0.072872,0.018352
0.993495,-0.085690,0.072746,0.018266
0.993490,-0.085783,0.072700,0.018247
0.993488,-0.085768,0.072740,0.018295
0.993486,-0.085698,0.072823,0.018377
0.993462,-0.085793,0.073020,0.018471
0.993446,-0.085878,0.073131,0.018501
0.993446,-0.085944,0.073070,0.018405
0.993453,-0.085965,0.073009,0.018211
0.993462,-0.085963,0.072947,0.017968
0.993477,-0.085915,0.072853,0.017728
0.993484,-0.085906,0.072807,0.017597
0.993472,-0.085975,0.072859,0.017684
0.993466,-0.085989,0.072875,0.017903
0.993462,-0.085975,0.072874,0.018188
0.993454,-0.086022,0.072965,0.018068
0.993454,-0.086019,0.072984,0.018007
0.993471,-0.085916,0.072855,0.018064
0.993463,-0.085940,0.072930,0.018051
0.993444,-0.086027,0.073107,0.018003
0.993444,-0.085966,0.073189,0.017935
0.993445,-0.085866,0.073309,0.017868
0.993447,-0.085689,0.073506,0.017805
0.993453,-0.085517,0.073626,0.017783
0.993462,-0.085346,0.073708,0.017783
