joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.042434,-0.038712,0.033908,-0.013320,-0.014175,0.000028,0.015345,0.024936,0.017304,-0.067009,0.012219,0.028836,0.005838,0.027607,0.009186,0.000000,-0.031017,-0.005566,0.000000,-0.006791,-0.066716,0.000147,-0.020868,0.037384,-0.026004,-0.003639,-0.009272,-0.021412,-0.034724
0.016860,-0.051857,0.040483,0.006627,-0.018666,0.001399,0.014546,-0.002032,0.011920,0.001829,0.021821,0.017240,0.029515,-0.026218,-0.009075,0.000000,-0.002528,0.005811,0.000000,-0.015196,-0.059279,0.015857,-0.003755,0.023478,-0.026577,-0.006433,-0.014613,-0.022563,-0.013930
0.017419,-0.044844,0.050218,-0.004708,-0.019302,-0.002491,-0.000394,-0.004115,-0.002170,0.002123,-0.007392,0.020604,0.025482,-0.035920,0.018297,0.000000,0.004485,-0.000515,0.000000,-0.023830,-0.058756,0.008274,0.013984,0.010839,-0.025716,-0.011204,-0.005898,-0.013459,-0.011542
0.018538,-0.030817,0.069687,-0.027376,-0.020573,-0.010271,-0.030275,-0.008279,-0.030351,0.002709,-0.065818,0.027330,0.017417,-0.055324,0.073041,0.000000,0.018511,-0.013167,0.000000,-0.041099,-0.057710,-0.006891,0.049464,-0.014439,-0.023992,-0.020747,0.011531,0.004749,-0.006765
0.005910,-0.024879,0.069647,-0.037024,-0.019570,-0.018494,-0.013585,-0.000651,-0.030517,-0.002462,-0.067608,0.030699,0.005271,-0.040784,0.016232,0.000000,0.008719,-0.010364,0.000000,-0.036125,-0.039681,-0.015968,0.047046,0.014831,-0.045632,-0.014984,0.007880,0.002549,-0.001955
-0.000404,-0.021910,0.069626,-0.041848,-0.019069,-0.022605,-0.005240,0.003163,-0.030600,-0.005048,-0.068503,0.032383,-0.000801,-0.033513,-0.012172,0.000000,0.003823,-0.008962,0.000000,-0.033638,-0.030667,-0.020506,0.045837,0.029466,-0.056452,-0.012102,0.006055,0.001448,0.000450
0.004615,-0.045012,0.029427,-0.008789,-0.021797,-0.021647,-0.039896,0.022643,-0.000546,0.056883,0.032065,0.028172,0.006905,-0.055583,0.024327,0.000000,0.018010,-0.004054,0.000000,-0.015271,-0.026335,-0.009588,0.029612,-0.003044,-0.039816,-0.008727,-0.004666,-0.006695,-0.003832
0.007493,-0.044261,0.031678,-0.012073,-0.023219,-0.011438,-0.034308,0.019829,0.004452,0.054394,0.023202,0.021603,0.005399,-0.059331,0.014509,0.000000,-0.000663,0.003656,0.000000,-0.011097,-0.020608,-0.009807,0.011961,-0.001041,-0.034378,-0.011376,-0.008877,-0.017857,-0.011646
0.013250,-0.042759,0.036181,-0.018641,-0.026062,0.008982,-0.023133,0.014200,0.014446,0.049417,0.005475,0.008463,0.002387,-0.066827,-0.005125,0.000000,-0.038009,0.019076,0.000000,-0.002750,-0.009154,-0.010246,-0.023339,0.002964,-0.023502,-0.016674,-0.017298,-0.040182,-0.027275
0.002251,-0.017447,0.031454,-0.017188,-0.014262,-0.006440,-0.031924,0.009410,0.003319,0.028723,0.012684,0.011861,0.006475,-0.045755,0.005066,0.000000,-0.002468,-0.000636,0.000000,-0.006965,-0.022876,0.004126,0.029497,0.005406,-0.019191,-0.009293,0.006009,-0.024860,-0.002896
