body_0_vel_x,body_0_vel_y,body_0_vel_z
0.050748,-0.035094,-0.001468
-0.039170,0.035736,-0.041884
-0.018879,0.023718,-0.009124
0.021703,-0.000318,0.056396
0.005890,-0.011441,-0.037599
-0.002017,-0.017002,-0.084597
0.014467,0.018461,0.060697
0.006326,0.013979,0.015845
-0.009957,0.005014,-0.073857
-0.002769,0.006588,0.014367
0.000826,0.007374,0.058479
-0.002066,0.007366,-0.063273
-0.001526,0.005181,-0.022063
-0.000448,0.000811,0.060359
0.003024,0.002659,-0.022675
0.004760,0.003583,-0.064192
-0.000256,-0.004306,0.058665
0.001787,-0.000681,0.018815
0.005871,0.006568,-0.060884
0.001831,0.000644,0.016143
-0.000189,-0.002318,0.054656
0.011928,0.002101,-0.050724
0.007584,-0.002732,-0.014696
-0.001103,-0.012397,0.057362
0.013617,0.006195,-0.017514
0.020977,0.015491,-0.054951
-0.022702,-0.031053,0.049725
-0.006502,-0.013719,0.024313
0.025897,0.020949,-0.026509
-0.004282,0.008715,-0.000649
-0.019372,0.002598,0.012281
0.030083,-0.029685,0.002332
0.014345,-0.006084,0.005902
-0.017131,0.041120,0.013043
0.014662,-0.010989,-0.007379
0.030558,-0.037044,-0.017590
-0.030513,0.019900,0.027605
-0.008318,0.012124,0.009943
0.036074,-0.003426,-0.025381
-0.010386,-0.001982,0.013702
-0.033616,-0.001260,0.033243
0.042152,-0.005645,-0.034366
0.018862,-0.003860,-0.009069
-0.027717,-0.000291,0.041526
0.016921,-0.011068,-0.006482
0.039240,-0.016456,-0.030486
-0.023890,0.015909,0.039647
-0.003349,0.001671,0.018611
0.037732,-0.026805,-0.023460
-0.005757,0.009097,0.012828
-0.027501,0.027047,0.030972
0.045114,-0.030611,-0.013179
0.021969,-0.013631,-0.004057
-0.024320,0.020329,0.014187
0.019035,0.001680,0.012021
0.040713,-0.007644,0.010938
-0.003951,-0.015556,-0.012352
-0.005118,-0.001514,0.000245
-0.007452,0.026571,0.025440
0.018546,-0.010874,-0.012075
0.031545,-0.029597,-0.030833
-0.031156,0.011360,0.031260
-0.011858,0.010380,0.009984
0.026739,0.008419,-0.032567
0.007726,-0.014891,0.003380
-0.001780,-0.026546,0.021354
-0.007778,0.033966,-0.010432
0.004082,0.012958,-0.013329
0.027803,-0.029059,-0.019122
0.005396,0.004412,0.012045
-0.005808,0.021148,0.027629
0.008938,-0.003261,-0.048137
0.012790,-0.006001,-0.020078
0.020495,-0.011480,0.036040
0.001853,0.011883,-0.008480
-0.007469,0.023565,-0.030740
0.037753,-0.045031,0.011866
0.015989,-0.017590,0.004525
-0.027537,0.037293,-0.010158
0.019917,-0.006502,0.001341
0.043643,-0.028399,0.007090
-0.049021,0.016248,-0.001761
-0.019603,0.004941,0.001919
0.039232,-0.017672,0.009279
-0.002955,0.008719,-0.001062
-0.024048,0.021915,-0.006232
0.022927,-0.028558,0.018076
0.006948,-0.005080,0.002421
-0.025010,0.041874,-0.028891
-0.003663,-0.013482,0.013431
0.007010,-0.041160,0.034592
0.011665,0.043166,-0.028641
0.003837,0.015050,-0.006107
-0.011820,-0.041183,0.038960
0.007159,0.009436,-0.009235
0.016649,0.034745,-0.033333
-0.010238,-0.020098,0.047048
-0.005369,-0.006316,0.018120
0.004370,0.021247,-0.039736
0.013556,-0.001068,0.013812
0.018148,-0.012226,0.040585
-0.042719,0.002041,-0.020397
-0.012326,0.003441,-0.009464
0.048461,0.006242,0.012403
-0.017023,-0.005652,0.007638
-0.049765,-0.011600,0.005255
0.042119,0.021292,-0.008116
0.015195,0.003063,0.002957
0.000000,0.000000,0.000000
0.038653,0.033395,-0.025103
